"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"5S_rRNA" 1.46009399434518 0.502910075530901 1.97228377403731 0.254988699978722 0.798731826934037 NA
"A1BG" 197.624663187205 -0.252156279998525 0.328197327336933 -0.768306926947205 0.442304860308748 0.605459056000009
"A1CF" 40.6240560678451 0.304617820894839 0.738861773712871 0.412279849536805 0.680134316377221 0.79748298348988
"A2M" 10990.232162607 0.519641207320645 0.380721401561647 1.36488572796059 0.172288968647558 0.321473867290254
"A2ML1" 81.1519012829069 -0.368991839863533 0.370833111091654 -0.995034771240623 0.31971935326344 0.488384600070461
"A2MP1" 50.2197819529278 1.31647910405599 0.868193827249123 1.516342391223 0.129432797833314 0.263989418575946
"A3GALT2" 0.495841465275867 0.924758699589102 3.4339400961022 0.269299601538996 0.787699138783854 NA
"A4GALT" 779.469636944757 -2.25003368542419 0.557353768626157 -4.0369937588659 5.41405085825767e-05 0.000661930618880543
"A4GNT" 5.74617641620069 1.28867630965988 1.79690394357791 0.717164829130446 0.473272397969987 0.63269046886514
"AAAS" 171.110617707173 -2.12869084586981 0.78407037751651 -2.71492318407985 0.00662911447622123 0.0300668666086081
"AACS" 826.572083108544 -0.402739915469484 0.226113942941119 -1.78113702424074 0.0748900685846409 0.181151653222025
"AACSP1" 25.4490032484527 0.533625033936823 1.00736260415443 0.529724879339492 0.596302695600035 0.734883456800117
"AADAC" 2.47920461335247 3.21875948704262 2.11592989042223 1.52120327881011 0.128208832912859 NA
"AADACL2" 46.6117845591094 0.462441682205356 1.12011067978836 0.412853560411309 0.67971390716178 0.797130666680316
"AADACL3" 8.65255166901759 2.79989983746346 1.42572166067966 1.96384744279518 0.0495477863425961 0.13574241713177
"AADACL4" 0 NA NA NA NA NA
"AADACP1" 37.5551707048649 0.216573944001204 0.802434273520924 0.269896178600298 0.787240127155089 0.870920262108352
"AADAT" 67.8689009436521 -0.758470544471385 0.518714979747341 -1.46221060521681 0.143683506358971 0.283429504678623
"AAGAB" 557.04168743552 0.609210091319137 0.292655254250735 2.08166462918582 0.0373731135909364 0.111022424298224
"AAK1" 2354.48632042862 0.967132841024535 0.285330407870144 3.38951900795896 0.000700153546604495 0.00516858268693798
"AAMDC" 229.166713670189 -0.24910009826785 0.373026818466427 -0.667780668671332 0.504273608028565 0.658720615204505
"AAMP" 386.521868437603 -2.7097756082922 0.612860454573626 -4.42152138887379 9.80083604333234e-06 0.000162849058223336
"AANAT" 10.5480118011982 -0.345828371922377 1.33767348911851 -0.258529734449822 0.795998103925711 0.876698330287565
"AAR2" 470.689687269926 0.929230502599291 0.292308526428697 3.17893738493448 0.00147816018548986 0.00935949061241101
"AARD" 31.8220570423869 -1.53251100710458 0.58328226733175 -2.62739173284852 0.00860422176483969 0.0368469883524782
"AARS1" 1072.55684578128 -0.624640697175307 0.28664286462323 -2.17916011269407 0.0293197759102953 0.0931644640438849
"AARS1P1" 0 NA NA NA NA NA
"AARS2" 290.277318550338 -1.22206644709288 0.396365442614343 -3.0831811144594 0.00204800470726403 0.0120921426882255
"AARSD1" 156.568992679972 -2.7226451881047 0.369422032086516 -7.37001302474314 1.70611367247759e-13 2.50128698926788e-11
"AARSD1P1" 67.3859518321295 0.539011013938045 0.763657468001641 0.705828249605865 0.48029495193146 0.637929725989966
"AASDH" 240.643579145885 1.34916666077628 0.574096756612013 2.35006842529172 0.0187699602190259 0.0667595855881478
"AASDHPPT" 366.996618270101 0.820946313505811 0.505632602132265 1.6236024141716 0.104460689892037 0.22740293995568
"AASS" 1122.95151601852 1.16105319896954 0.378189919092072 3.07002683137854 0.00214039541164016 0.0125043492858755
"AATF" 834.027531448855 -0.345414201365401 0.319585775082097 -1.08081844780691 0.279777880712881 0.446478285918802
"AATK" 267.092394070239 -0.757637871152487 0.440911812057475 -1.71834332951308 0.0857340104485311 0.198727090715329
"ABAT" 431.165884289061 0.588099954899522 0.360161049261268 1.63288050194707 0.102494131681126 0.224673536894236
"ABCA1" 6231.01180841466 1.02156649880606 0.533307288883567 1.91553072703098 0.05542485439259 0.147231038067393
"ABCA10" 337.548873744709 0.483692886733824 0.778607381723495 0.621228231439498 0.53444946676962 0.684857928937942
"ABCA11P" 40.5386294164678 0.341114117722023 0.918527444838584 0.371370632025011 0.710361496316113 0.818585165804172
"ABCA12" 16.8278675758031 -0.257510976410435 1.1800562778985 -0.218219233466579 0.827258300036222 0.896175761015183
"ABCA13" 75.4465349778687 0.498695783203636 0.796789745745616 0.625881276542997 0.531392816306222 0.682508296815205
"ABCA17P" 31.2050094267109 -1.12716204473822 1.010574986125 -1.11536705362189 0.26469316188984 0.430623119690071
"ABCA2" 760.266976418694 -2.71865482498983 0.509119705966352 -5.33991278108082 9.29913083285116e-08 2.96664591481951e-06
"ABCA3" 504.955404045461 -2.69977995027637 0.624461084146921 -4.32337581766932 1.5365964667211e-05 0.000233700968344409
"ABCA4" 15.1133452138087 -1.89357887755396 1.59596655057221 -1.18647779734171 NA NA
"ABCA5" 984.957091741488 1.57840614301152 0.766378797786797 2.05956394875452 0.0394402456739673 0.115409312957622
"ABCA6" 2251.26809950073 1.11160192315104 0.432602855993023 2.56956676950132 0.0101825767107759 0.041878600601583
"ABCA7" 322.500166551538 -2.5481278710362 0.479524879028059 -5.31385957742371 1.07327337036115e-07 3.38607559044793e-06
"ABCA8" 1649.14756608166 0.27521197347087 0.637168348006902 0.431929762882522 0.665792462308317 0.786913805925639
"ABCA9" 887.995329456126 0.799508880376759 0.441010874871559 1.8129006016226 0.0698471534413323 0.1727053705353
"ABCB1" 125.055990645051 2.15007124376008 0.687824397247658 3.12590139629189 0.001772609761227 0.0107657831340558
"ABCB10" 331.582566173385 0.637625775117838 0.362251674686738 1.76017343651823 0.0783784044289516 0.186770158487835
"ABCB10P1" 0 NA NA NA NA NA
"ABCB10P3" 0 NA NA NA NA NA
"ABCB10P4" 0 NA NA NA NA NA
"ABCB11" 28.8392212275074 -1.18862709233483 0.671986556361359 -1.76882570206606 0.0769229661551495 0.184502228096659
"ABCB4" 141.192907420613 0.880713731477596 0.675197458017442 1.30437951301476 0.192104216827458 0.346232123232639
"ABCB5" 48.9471516807252 -0.403980247729085 0.464730839521753 -0.869277898890493 0.384695148368169 0.553982129374037
"ABCB6" 55.6970347548657 0.849921912570868 1.00786434627099 0.84328998809761 NA NA
"ABCB7" 469.010491939348 0.816524636406469 0.403211892209121 2.02505097737293 0.0428621299634855 0.122316875531979
"ABCB8" 219.609125883705 -0.430411082653438 0.809031287732063 -0.532007957145883 0.594720484400398 0.733444569727006
"ABCB9" 217.237532572489 -0.698225764889162 0.291684154093941 -2.39377338497548 0.0166760484890762 0.0610516948006923
"ABCC1" 1215.18242826938 0.637644591659182 0.404765957436805 1.57534145336009 0.115177650434933 0.243044467353385
"ABCC10" 292.362462379383 -0.582681596615128 0.602656839368176 -0.966854698315562 0.333616675902751 0.501847069092791
"ABCC11" 30.2206752988314 -0.210621879912086 0.493211140688921 -0.427042016159424 0.669348724956052 0.789832218974233
"ABCC12" 27.2090207724582 1.20379916547634 0.830464510434254 1.44954919849238 0.147184271329383 0.288293589802902
"ABCC13" 47.9931533789674 -0.238843536031735 0.984154625151557 -0.2426890347591 0.808246302545061 0.88469603790327
"ABCC2" 104.663955974142 0.296885284352893 0.638850360015439 0.464718035606519 0.642133390913081 0.769073252010836
"ABCC3" 655.076204669918 -1.22760461574586 0.821712679341245 -1.49395846822032 0.135186474871257 0.271804287834828
"ABCC4" 588.77387164738 1.98181154855131 0.444829962614327 4.45521146305867 8.38105446715202e-06 0.000142951107802005
"ABCC5" 964.531715776631 0.146992432146284 0.826189491173489 0.17791612422654 NA NA
"ABCC6" 189.180544421849 -1.22244253556171 0.41234086096929 -2.9646407893899 0.00303036544211329 0.0164013182818395
"ABCC6P1" 3.63188894950565 1.49284453671162 2.47288435670856 0.603685543426953 0.546052727320952 0.694022579227459
"ABCC6P2" 3.45921845179291 -1.62142964925917 2.69499125311409 -0.601645607341245 0.54741006353905 0.695255064456661
"ABCC8" 207.410930349632 0.664707479124978 0.625074321788482 1.06340551188073 0.287598094247434 0.454319315575946
"ABCC9" 5193.07328067363 -1.07851836734378 0.444418355720141 -2.42680877930017 0.0152322820005178 0.0570145430464284
"ABCD1" 233.209866561523 -4.42922570866132 1.02728571596583 -4.31158113056897 1.62091277988237e-05 0.000243919848438299
"ABCD1P2" 0.0545286604570286 -0.429187651971401 3.52403195371485 -0.121788808276546 0.903066277668431 NA
"ABCD1P3" 0 NA NA NA NA NA
"ABCD1P4" 0 NA NA NA NA NA
"ABCD1P5" 0.0509467409566199 -1.67162581789946 3.51487690579999 -0.475585877599602 0.634369438504774 NA
"ABCD2" 211.51336981268 3.01260361867962 0.642794338212644 4.68673017104736 2.77604578172901e-06 5.54625018455859e-05
"ABCD3" 616.104612955904 0.826382300632633 0.465761271366003 1.77426151858652 0.0760199026115033 0.182959834073015
"ABCD4" 618.118915785751 0.351941597409097 0.58746359319284 0.599086652325652 0.5491151020645 0.696666201327568
"ABCE1" 870.111334307022 1.11065779623686 0.354264006780075 3.13511329116298 0.00171787754509631 0.0104812608236461
"ABCF1" 620.719747350418 -1.95612809192512 0.466069935131951 -4.19706989117698 2.70390509278334e-05 0.000371080007794874
"ABCF2" 305.931719517061 -0.331832211171586 0.420041959048052 -0.789997770517075 0.429529070363302 0.594955202082242
"ABCF2-H2BE1" 68.2370704834817 0.856335024060434 0.79065600681143 1.08306901697222 NA NA
"ABCF2P1" 0.222181790448024 0.99646232712344 3.45642406408616 0.288292845046747 0.773122583598689 NA
"ABCF2P2" 0 NA NA NA NA NA
"ABCF3" 264.243615807367 -2.14026642939991 0.445949544711426 -4.79934659600308 1.59184108727016e-06 3.42391795459328e-05
"ABCG1" 886.733409096482 0.210982438674755 0.391956931746334 0.538279646528355 0.590384000793784 0.729844788382867
"ABCG2" 52.0600261941308 1.30376195981743 0.463962387500195 2.8100595973782 0.00495323269096417 0.0238527634783224
"ABCG4" 1.52011474910187 3.50227176749817 2.98305154689277 1.17405673768736 0.240372300390266 NA
"ABCG5" 20.7821164002423 0.215005316072101 0.93574333648614 0.22976954009577 0.818270854981763 0.890681437792411
"ABCG8" 168.297096438499 -0.123687310092873 0.510953252934235 -0.242071675603546 0.808724625177675 0.884900173211467
"ABHD1" 51.9167468442008 -1.36140183823149 0.607752116884065 -2.24006103871982 0.0250869604766649 0.0825699744047904
"ABHD10" 307.902870851111 0.484923639041497 0.436193318066524 1.11171725690567 0.266259737640132 0.432430798143406
"ABHD11" 115.497335074044 -0.59623356363288 0.576542274032792 -1.03415411234696 0.301064122418615 0.468493637210855
"ABHD11-AS1" 6.88920011823395 -2.03729618097271 1.77348156332277 -1.14875520733109 0.250656934197119 0.415552391365791
"ABHD12" 597.437604560523 0.0644700972305217 0.422643073427199 0.152540290576007 0.878760814953236 0.929134154701059
"ABHD12B" 175.47885193455 0.435612339828869 0.424291388812714 1.02668201927886 0.304570218714976 0.47233612747592
"ABHD13" 465.598485705559 1.39020585614914 0.511168255744747 2.71966390816596 0.00653482989381058 0.0296941598114606
"ABHD14A" 83.5890906743852 -1.58456168659468 0.588398022970539 -2.69300987551758 0.00708101715823713 0.0316552746210408
"ABHD14A-ACY1" 11.2224717143902 -1.13152026781717 2.17214466889291 -0.520923069269541 NA NA
"ABHD14B" 223.488272789303 -2.65020751350421 0.461531974797934 -5.74219698356655 9.3456015093179e-09 4.23504428396113e-07
"ABHD15" 243.66506125706 -2.71982859682108 0.814650290197543 -3.33864558761964 0.000841879010765137 0.00596101761209022
"ABHD16A" 132.735337856435 -0.623414074128758 0.794222630237138 -0.784936175820903 0.432490990390538 0.597518471619288
"ABHD16B" 33.9379612385922 -2.50299378556535 0.751043600951766 -3.33268771931937 0.000860114244489336 0.00606000633246391
"ABHD17A" 1129.01729736598 -2.83654122433334 0.40711320080964 -6.96745086794585 3.22735104279254e-12 3.42288044905534e-10
"ABHD17AP1" 4.92330597715906 -3.17761744500532 1.83577162987031 -1.73094375863615 0.0834617959580815 0.195322153709881
"ABHD17AP3" 0.665042940457316 2.24818565546664 3.42358405192198 0.656676050995307 0.511389236733682 NA
"ABHD17AP4" 0 NA NA NA NA NA
"ABHD17AP5" 0.282811173834916 1.27092285729191 3.4479557955303 0.368601841978209 0.712424522409813 NA
"ABHD17AP6" 0 NA NA NA NA NA
"ABHD17AP7" 0 NA NA NA NA NA
"ABHD17AP8" 0 NA NA NA NA NA
"ABHD17AP9" 0 NA NA NA NA NA
"ABHD17B" 235.223122174285 1.18599201153337 0.521921227269113 2.27235825938508 0.0230648806401383 0.0775532301996151
"ABHD17C" 123.980590615037 2.64449187571357 1.05527622264079 2.5059712509165 0.0122115548405303 0.0479964896442604
"ABHD18" 508.778961865523 0.337993288359829 0.383845221375061 0.880545776104818 0.378563718390556 0.547922153861926
"ABHD2" 4355.07682822157 0.709927113814286 0.373917185687867 1.89862124820042 0.0576142926193894 0.151413125153289
"ABHD3" 284.836071480352 1.95831437270069 0.53148146078827 3.68463345795017 0.000229031996661602 0.00212008773511406
"ABHD4" 243.325395707631 -0.854511158108072 0.588753443857986 -1.45139050484126 0.146671152230955 0.28761566722394
"ABHD5" 455.228614427311 2.21217489369865 0.46092266759834 4.79944912500247 1.59102644019515e-06 3.42391795459328e-05
"ABHD6" 152.928982509411 -0.0125298162647947 0.374036375042181 -0.0334989244385166 0.973276723525674 0.985034495222497
"ABHD8" 55.1778281283047 -2.21722755948338 0.907187086711714 -2.44406869537812 0.0145226609911975 0.0549046904633081
"ABI1" 1366.06823707636 1.30061113205898 0.320740246367151 4.0550294102168 5.01279953219615e-05 0.000622742740638375
"ABI1P1" 2.55631501869186 3.27127277684334 1.88233205116688 1.737882949406 0.0822314406462001 NA
"ABI2" 2516.22521073385 0.43238226085434 0.3692275237777 1.17104558303368 0.241580455252158 0.405802249138397
"ABI3" 186.993039406176 -1.56516825133095 0.478153807579222 -3.2733572890594 0.00106278043380147 0.00719795484699986
"ABI3BP" 9787.26114165513 0.392542321410175 0.427084995937825 0.919119906210243 0.35803285831434 0.527316971630198
"ABITRAM" 93.9037187940507 0.763942262871844 0.993272043691617 0.769116847417309 0.441823947630647 0.605341008163779
"ABITRAMP1" 0.107508975723603 -0.950287171687778 3.51487684005968 -0.270361442215324 0.786882200528807 NA
"ABL1" 1932.5782947971 -0.134997294719612 0.363963106896507 -0.37090928218172 0.710705101349913 0.818783351652376
"ABL2" 1957.97957591421 0.656779474191264 0.232962851876798 2.81924551017516 0.00481366847043829 0.0233588914359478
"ABLIM1" 3770.44146200339 0.00448627955966633 0.476408991402565 0.00941686584558063 0.992486539176472 0.995832785056344
"ABLIM2" 83.630115213133 -0.864047629238647 0.713267110067988 -1.21139418465025 0.225744367085306 0.387392799321276
"ABLIM3" 749.456495442388 -1.22909604511618 0.61452429609088 -2.00007721897202 0.04549192628634 0.127521934236375
"ABO" 169.373925634897 0.346347923594031 0.580866750290742 0.596260542406107 0.55100118611417 0.698348121658431
"ABR" 3452.60749918749 -1.16122655267134 0.307499055038916 -3.77635811766764 0.000159138141429053 0.00158099422120274
"ABRA" 29.7953918347538 0.362333278601284 0.924671197656548 0.391850940658223 0.695168353589551 0.808785260953557
"ABRACL" 264.927117851208 1.06108408146693 0.612462609022754 1.73248793613702 0.08318672319833 0.194903286558538
"ABRAXAS1" 502.422440407549 0.035812921501998 0.335240331089543 0.106827604499747 0.914925747559216 0.95226318674757
"ABRAXAS2" 304.454726392357 1.25189912100537 0.580655856789308 2.1560087724382 0.0310829801678484 0.0969895996192065
